기록일자,라인,설비코드,설비명,계획가동시간,실가동시간,비가동시간,비가동사유,라인효율,생산수량,상태,근무조,비고
2026-01-14,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,92.8,1840,가동,전일,
2026-01-14,DUBAI,EQ-D04,두바이-포장기,16.0,16.0,0.0,,95.8,1840,가동,전일,
2026-01-14,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,95.5,1180,가동,전일,
2026-01-14,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,94.9,1180,가동,전일,
2026-01-14,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,90.9,1180,가동,전일,
2026-01-14,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,94.1,1180,가동,전일,
2026-01-15,DUBAI,EQ-D01,두바이-오븐,16.0,16.0,0.0,,94.2,1740,가동,전일,
2026-01-15,DUBAI,EQ-D02,두바이-중탕기,16.0,15.7,0.3,품질조치,88.0,1740,가동,전일,
2026-01-15,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,95.6,1740,가동,전일,
2026-01-15,DUBAI,EQ-D04,두바이-포장기,16.0,16.0,0.0,,90.3,1740,가동,전일,
2026-01-15,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,94.1,1160,가동,전일,
2026-01-15,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,91.2,1160,가동,전일,
2026-01-15,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,92.3,1160,가동,전일,
2026-01-15,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,88.7,1160,가동,전일,
2026-01-16,DUBAI,EQ-D01,두바이-오븐,16.0,15.1,0.9,세팅변경,87.1,1760,가동,전일,
2026-01-16,DUBAI,EQ-D02,두바이-중탕기,16.0,15.1,0.9,정기점검,87.8,1760,가동,전일,
2026-01-16,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,93.4,1760,가동,전일,
2026-01-16,DUBAI,EQ-D04,두바이-포장기,16.0,15.2,0.8,자재 교체,90.8,1760,가동,전일,
2026-01-16,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,90.0,1180,가동,전일,
2026-01-16,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,88.9,1180,가동,전일,
2026-01-16,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,88.4,1180,가동,전일,
2026-01-16,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,93.3,1180,가동,전일,
2026-01-17,DUBAI,EQ-D01,두바이-오븐,16.0,16.0,0.0,,88.1,1760,가동,전일,
2026-01-17,DUBAI,EQ-D02,두바이-중탕기,16.0,16.0,0.0,,88.1,1760,가동,전일,
2026-01-17,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,90.8,1760,가동,전일,
2026-01-17,DUBAI,EQ-D04,두바이-포장기,16.0,16.0,0.0,,94.6,1760,가동,전일,
2026-01-17,ITALY,EQ-I01,이태리-오븐,16.0,15.2,0.8,정기점검,86.4,1160,가동,전일,
2026-01-17,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,95.0,1160,가동,전일,
2026-01-17,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,88.9,1160,가동,전일,
2026-01-17,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,90.7,1160,가동,전일,
2026-01-20,DUBAI,EQ-D01,두바이-오븐,16.0,16.0,0.0,,92.2,1760,가동,전일,
2026-01-20,DUBAI,EQ-D02,두바이-중탕기,16.0,16.0,0.0,,95.8,1760,가동,전일,
2026-01-20,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,92.0,1760,가동,전일,
2026-01-20,DUBAI,EQ-D04,두바이-포장기,16.0,16.0,0.0,,88.4,1760,가동,전일,
2026-01-20,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,89.3,1220,가동,전일,
2026-01-20,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,94.2,1220,가동,전일,
2026-01-20,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,93.4,1220,가동,전일,
2026-01-20,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,93.9,1220,가동,전일,
2026-01-21,DUBAI,EQ-D01,두바이-오븐,16.0,15.1,0.9,세팅변경,84.9,1760,가동,전일,
2026-01-21,DUBAI,EQ-D02,두바이-중탕기,16.0,16.0,0.0,,91.1,1760,가동,전일,
2026-01-21,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,95.4,1760,가동,전일,
2026-01-21,DUBAI,EQ-D04,두바이-포장기,16.0,16.0,0.0,,92.4,1760,가동,전일,
2026-01-21,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,93.9,1200,가동,전일,
2026-01-21,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,90.6,1200,가동,전일,
2026-01-21,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,93.8,1200,가동,전일,
2026-01-21,ITALY,EQ-I04,이태리-포장기,16.0,15.2,0.8,정기점검,84.2,1200,가동,전일,
2026-01-22,DUBAI,EQ-D01,두바이-오븐,16.0,16.0,0.0,,92.0,1720,가동,전일,
2026-01-22,DUBAI,EQ-D02,두바이-중탕기,16.0,16.0,0.0,,89.4,1720,가동,전일,
2026-01-22,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,95.9,1720,가동,전일,
2026-01-22,DUBAI,EQ-D04,두바이-포장기,16.0,14.5,1.5,정기점검,80.2,1720,점검,전일,
2026-01-22,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,90.3,1200,가동,전일,
2026-01-22,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,90.6,1200,가동,전일,
2026-01-22,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,88.1,1200,가동,전일,
2026-01-22,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,92.5,1200,가동,전일,
2026-01-23,DUBAI,EQ-D01,두바이-오븐,16.0,16.0,0.0,,93.0,1740,가동,전일,
2026-01-23,DUBAI,EQ-D02,두바이-중탕기,16.0,16.0,0.0,,92.7,1740,가동,전일,
2026-01-23,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,94.2,1740,가동,전일,
2026-01-23,DUBAI,EQ-D04,두바이-포장기,16.0,16.0,0.0,,95.2,1740,가동,전일,
2026-01-23,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,90.0,1180,가동,전일,
2026-01-23,ITALY,EQ-I02,이태리-중탕기,16.0,15.4,0.6,세팅변경,88.9,1180,가동,전일,
2026-01-23,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,93.5,1180,가동,전일,
2026-01-23,ITALY,EQ-I04,이태리-포장기,16.0,15.5,0.5,자재 교체,88.2,1180,가동,전일,
2026-01-24,DUBAI,EQ-D01,두바이-오븐,16.0,16.0,0.0,,90.5,1780,가동,전일,
2026-01-24,DUBAI,EQ-D02,두바이-중탕기,16.0,16.0,0.0,,95.9,1780,가동,전일,
2026-01-24,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,95.7,1780,가동,전일,
2026-01-24,DUBAI,EQ-D04,두바이-포장기,16.0,16.0,0.0,,89.1,1780,가동,전일,
2026-01-24,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,88.4,1200,가동,전일,
2026-01-24,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,94.8,1200,가동,전일,
2026-01-24,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,95.2,1200,가동,전일,
2026-01-24,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,94.0,1200,가동,전일,
2026-01-27,DUBAI,EQ-D01,두바이-오븐,16.0,16.0,0.0,,92.0,1760,가동,전일,
2026-01-27,DUBAI,EQ-D02,두바이-중탕기,16.0,16.0,0.0,,91.2,1760,가동,전일,
2026-01-27,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,88.5,1760,가동,전일,
2026-01-27,DUBAI,EQ-D04,두바이-포장기,16.0,16.0,0.0,,89.0,1760,가동,전일,
2026-01-27,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,94.8,1200,가동,전일,
2026-01-27,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,91.1,1200,가동,전일,
2026-01-27,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,90.6,1200,가동,전일,
2026-01-27,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,89.9,1200,가동,전일,
2026-01-28,DUBAI,EQ-D01,두바이-오븐,16.0,16.0,0.0,,89.1,1780,가동,전일,
2026-01-28,DUBAI,EQ-D02,두바이-중탕기,16.0,16.0,0.0,,88.9,1780,가동,전일,
2026-01-28,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,91.6,1780,가동,전일,
2026-01-28,DUBAI,EQ-D04,두바이-포장기,16.0,16.0,0.0,,89.0,1780,가동,전일,
2026-01-28,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,94.2,1180,가동,전일,
2026-01-28,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,91.7,1180,가동,전일,
2026-01-28,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,88.7,1180,가동,전일,
2026-01-28,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,90.4,1180,가동,전일,
2026-01-29,DUBAI,EQ-D01,두바이-오븐,16.0,16.0,0.0,,92.8,1760,가동,전일,
2026-01-29,DUBAI,EQ-D02,두바이-중탕기,16.0,16.0,0.0,,94.9,1760,가동,전일,
2026-01-29,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,93.7,1760,가동,전일,
2026-01-29,DUBAI,EQ-D04,두바이-포장기,16.0,16.0,0.0,,91.2,1760,가동,전일,
2026-01-29,ITALY,EQ-I01,이태리-오븐,16.0,15.5,0.5,세팅변경,85.5,1160,가동,전일,
2026-01-29,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,91.6,1160,가동,전일,
2026-01-29,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,90.0,1160,가동,전일,
2026-01-29,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,94.4,1160,가동,전일,
2026-01-30,DUBAI,EQ-D01,두바이-오븐,16.0,16.0,0.0,,88.1,1760,가동,전일,
2026-01-30,DUBAI,EQ-D02,두바이-중탕기,16.0,16.0,0.0,,95.9,1760,가동,전일,
2026-01-30,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,94.6,1760,가동,전일,
2026-01-30,DUBAI,EQ-D04,두바이-포장기,16.0,16.0,0.0,,93.0,1760,가동,전일,
2026-01-30,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,92.7,1200,가동,전일,
2026-01-30,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,94.5,1200,가동,전일,
2026-01-30,ITALY,EQ-I03,이태리-코팅기,16.0,15.7,0.3,자재 교체,89.8,1200,가동,전일,
2026-01-30,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,95.2,1200,가동,전일,
2026-01-31,DUBAI,EQ-D01,두바이-오븐,16.0,16.0,0.0,,90.7,1760,가동,전일,
2026-01-31,DUBAI,EQ-D02,두바이-중탕기,16.0,15.4,0.6,세팅변경,91.8,1760,가동,전일,
2026-01-31,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,93.8,1760,가동,전일,
2026-01-31,DUBAI,EQ-D04,두바이-포장기,16.0,16.0,0.0,,91.1,1760,가동,전일,
2026-01-31,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,90.8,1180,가동,전일,
2026-01-31,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,90.2,1180,가동,전일,
2026-01-31,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,89.2,1180,가동,전일,
2026-01-31,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,92.9,1180,가동,전일,
2026-02-03,DUBAI,EQ-D01,두바이-오븐,16.0,16.0,0.0,,92.0,1500,가동,전일,
2026-02-03,DUBAI,EQ-D02,두바이-중탕기,16.0,16.0,0.0,,91.8,1500,가동,전일,
2026-02-03,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,91.1,1500,가동,전일,
2026-02-03,DUBAI,EQ-D04,두바이-포장기,16.0,16.0,0.0,,93.1,1500,가동,전일,
2026-02-03,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,90.0,1180,가동,전일,
2026-02-03,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,92.3,1180,가동,전일,
2026-02-03,ITALY,EQ-I03,이태리-코팅기,16.0,15.4,0.6,자재 교체,87.5,1180,가동,전일,
2026-02-03,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,91.9,1180,가동,전일,
2026-02-04,DUBAI,EQ-D01,두바이-오븐,16.0,16.0,0.0,,92.0,1420,가동,전일,
2026-02-04,DUBAI,EQ-D02,두바이-중탕기,16.0,16.0,0.0,,89.4,1420,가동,전일,
2026-02-04,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,89.8,1420,가동,전일,
2026-02-04,DUBAI,EQ-D04,두바이-포장기,16.0,16.0,0.0,,94.2,1420,가동,전일,
2026-02-04,ITALY,EQ-I01,이태리-오븐,16.0,15.0,1.0,자재 교체,85.2,1200,가동,전일,
2026-02-04,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,89.9,1200,가동,전일,
2026-02-04,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,90.0,1200,가동,전일,
2026-02-04,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,92.3,1200,가동,전일,
2026-02-05,DUBAI,EQ-D01,두바이-오븐,16.0,16.0,0.0,,93.9,1460,가동,전일,
2026-02-05,DUBAI,EQ-D02,두바이-중탕기,16.0,16.0,0.0,,95.6,1460,가동,전일,
2026-02-05,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,95.9,1460,가동,전일,
2026-02-05,DUBAI,EQ-D04,두바이-포장기,16.0,16.0,0.0,,95.5,1460,가동,전일,
2026-02-05,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,89.4,1160,가동,전일,
2026-02-05,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,90.5,1160,가동,전일,
2026-02-05,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,90.9,1160,가동,전일,
2026-02-05,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,93.6,1160,가동,전일,
2026-02-06,DUBAI,EQ-D01,두바이-오븐,16.0,16.0,0.0,,92.5,1460,가동,전일,
2026-02-06,DUBAI,EQ-D02,두바이-중탕기,16.0,16.0,0.0,,95.6,1460,가동,전일,
2026-02-06,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,94.5,1460,가동,전일,
2026-02-06,DUBAI,EQ-D04,두바이-포장기,16.0,16.0,0.0,,92.3,1460,가동,전일,
2026-02-06,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,88.3,1180,가동,전일,
2026-02-06,ITALY,EQ-I02,이태리-중탕기,16.0,15.3,0.7,세팅변경,88.2,1180,가동,전일,
2026-02-06,ITALY,EQ-I03,이태리-코팅기,16.0,15.1,0.9,세팅변경,89.1,1180,가동,전일,
2026-02-06,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,89.4,1180,가동,전일,
2026-02-07,DUBAI,EQ-D01,두바이-오븐,16.0,16.0,0.0,,94.9,1420,가동,전일,
2026-02-07,DUBAI,EQ-D02,두바이-중탕기,16.0,15.6,0.4,자재 교체,93.0,1420,가동,전일,
2026-02-07,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,94.8,1420,가동,전일,
2026-02-07,DUBAI,EQ-D04,두바이-포장기,16.0,16.0,0.0,,95.7,1420,가동,전일,
2026-02-07,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,95.5,1180,가동,전일,
2026-02-07,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,88.8,1180,가동,전일,
2026-02-07,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,89.1,1180,가동,전일,
2026-02-07,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,95.6,1180,가동,전일,
2026-02-10,DUBAI,EQ-D01,두바이-오븐,16.0,16.0,0.0,,95.7,1420,가동,전일,
2026-02-10,DUBAI,EQ-D02,두바이-중탕기,16.0,16.0,0.0,,89.4,1420,가동,전일,
2026-02-10,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,93.5,1420,가동,전일,
2026-02-10,DUBAI,EQ-D04,두바이-포장기,16.0,16.0,0.0,,94.3,1420,가동,전일,
2026-02-10,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,92.7,1200,가동,전일,
2026-02-10,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,90.5,1200,가동,전일,
2026-02-10,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,89.0,1200,가동,전일,
2026-02-10,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,95.6,1200,가동,전일,
2026-02-11,DUBAI,EQ-D01,두바이-오븐,0.0,0.0,0.0,원료대기,0.0,0,비가동,,카다이프 재고소진
2026-02-11,DUBAI,EQ-D02,두바이-중탕기,0.0,0.0,0.0,원료대기,0.0,0,비가동,,카다이프 재고소진
2026-02-11,DUBAI,EQ-D03,두바이-코팅기,0.0,0.0,0.0,원료대기,0.0,0,비가동,,카다이프 재고소진
2026-02-11,DUBAI,EQ-D04,두바이-포장기,0.0,0.0,0.0,원료대기,0.0,0,비가동,,카다이프 재고소진
2026-02-11,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,91.1,1280,가동,전일,
2026-02-11,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,95.7,1280,가동,전일,
2026-02-11,ITALY,EQ-I03,이태리-코팅기,16.0,15.3,0.7,자재 교체,85.8,1280,가동,전일,
2026-02-11,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,95.5,1280,가동,전일,
2026-02-12,DUBAI,EQ-D01,두바이-오븐,0.0,0.0,0.0,원료대기,0.0,0,비가동,,카다이프 재고소진
2026-02-12,DUBAI,EQ-D02,두바이-중탕기,0.0,0.0,0.0,원료대기,0.0,0,비가동,,카다이프 재고소진
2026-02-12,DUBAI,EQ-D03,두바이-코팅기,0.0,0.0,0.0,원료대기,0.0,0,비가동,,카다이프 재고소진
2026-02-12,DUBAI,EQ-D04,두바이-포장기,0.0,0.0,0.0,원료대기,0.0,0,비가동,,카다이프 재고소진
2026-02-12,ITALY,EQ-I01,이태리-오븐,16.0,15.4,0.6,정기점검,90.4,1260,가동,전일,
2026-02-12,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,95.9,1260,가동,전일,
2026-02-12,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,95.1,1260,가동,전일,
2026-02-12,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,93.7,1260,가동,전일,
2026-02-13,DUBAI,EQ-D01,두바이-오븐,0.0,0.0,0.0,원료대기,0.0,0,비가동,,카다이프 재고소진
2026-02-13,DUBAI,EQ-D02,두바이-중탕기,0.0,0.0,0.0,원료대기,0.0,0,비가동,,카다이프 재고소진
2026-02-13,DUBAI,EQ-D03,두바이-코팅기,0.0,0.0,0.0,원료대기,0.0,0,비가동,,카다이프 재고소진
2026-02-13,DUBAI,EQ-D04,두바이-포장기,0.0,0.0,0.0,원료대기,0.0,0,비가동,,카다이프 재고소진
2026-02-13,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,95.1,1280,가동,전일,
2026-02-13,ITALY,EQ-I02,이태리-중탕기,16.0,15.1,0.9,정기점검,85.1,1280,가동,전일,
2026-02-13,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,88.5,1280,가동,전일,
