일자,구분,원재료코드,원재료명,거래처,LOT번호,수량,단위,단가,금액,수량_kg,창고,발주번호,비고,납기예정일
2026-01-02,OUT,MAT-006,다크초콜릿,,,2,백,55000,110000,3.3,원료창고B,,ITALY라인 투입,
2026-01-02,OUT,MAT-007,화이트초콜릿,,,7,백,60000,420000,15.5,원료창고B,,DUBAI+ITALY라인 투입,
2026-01-02,OUT,MAT-008,코코아파우더,,,3,봉,16000,48000,2.8,원료창고A,,DUBAI라인 투입,
2026-01-02,OUT,MAT-009,말차파우더,,,6,파우치,22500,135000,2.8,원료창고A,,DUBAI라인 투입,
2026-01-02,OUT,MAT-010,무염버터,,,2,박스,85500,171000,15.6,냉장창고,,DUBAI+ITALY라인 투입,
2026-01-02,OUT,MAT-011,탈지분유,,,7,봉,8000,56000,6.2,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-02,OUT,MAT-012,포장재,,,2960,장,1500,4440000,2960.0,자재창고,,전체라인 투입,
2026-01-03,IN,MAT-001,카다이프,중동식품,L260103-01,30,팩,60000,1800000,150.0,원료창고A,PO-2601-001,,2026-01-03
2026-01-03,IN,MAT-004,헤이즐넛분태,유로넛츠,L260103-02,18,봉,15000,270000,18.0,원료창고A,PO-2601-028,,2026-01-03
2026-01-03,IN,MAT-005,마시멜로,한성식품,L260103-03,100,봉,5500,550000,100.0,원료창고A,PO-2601-033,,2026-01-03
2026-01-03,IN,MAT-005,마시멜로,한성식품,L260103-04,118,봉,5500,649000,118.0,원료창고A,PO-2601-034,,2026-01-03
2026-01-03,IN,MAT-007,화이트초콜릿,카카오트레이드,L260103-05,20,백,60000,1200000,50.0,원료창고B,PO-2601-048,,2026-01-03
2026-01-03,OUT,MAT-001,카다이프,,,18,팩,60000,1080000,85.6,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-03,OUT,MAT-002,피스타치오페이스트,,,68,통,38000,2584000,67.2,냉장창고,,DUBAI라인 투입,
2026-01-03,OUT,MAT-003,헤이즐넛페이스트,,,47,통,18000,846000,46.4,냉장창고,,ITALY라인 투입,
2026-01-03,OUT,MAT-004,헤이즐넛분태,,,7,봉,15000,105000,6.4,원료창고A,,ITALY라인 투입,
2026-01-03,OUT,MAT-005,마시멜로,,,68,봉,5500,374000,68.0,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-03,OUT,MAT-006,다크초콜릿,,,2,백,55000,110000,3.3,원료창고B,,ITALY라인 투입,
2026-01-03,OUT,MAT-007,화이트초콜릿,,,7,백,60000,420000,15.8,원료창고B,,DUBAI+ITALY라인 투입,
2026-01-03,OUT,MAT-008,코코아파우더,,,3,봉,16000,48000,2.6,원료창고A,,DUBAI라인 투입,
2026-01-03,OUT,MAT-009,말차파우더,,,6,파우치,22500,135000,2.8,원료창고A,,DUBAI라인 투입,
2026-01-03,OUT,MAT-010,무염버터,,,2,박스,85500,171000,16.1,냉장창고,,DUBAI+ITALY라인 투입,
2026-01-03,OUT,MAT-011,탈지분유,,,7,봉,8000,56000,6.4,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-03,OUT,MAT-012,포장재,,,2980,장,1500,4470000,2980.0,자재창고,,전체라인 투입,
2026-01-06,IN,MAT-001,카다이프,중동식품,L260106-01,43,팩,60000,2580000,215.0,원료창고A,PO-2601-003,,2026-01-06
2026-01-06,IN,MAT-001,카다이프,중동식품,L260106-02,49,팩,60000,2940000,245.0,원료창고A,PO-2601-004,,2026-01-06
2026-01-06,IN,MAT-003,헤이즐넛페이스트,유로넛츠,L260106-03,114,통,18000,2052000,114.0,냉장창고,PO-2601-022,,2026-01-06
2026-01-06,IN,MAT-007,화이트초콜릿,카카오트레이드,L260106-04,30,백,60000,1800000,75.0,원료창고B,PO-2601-049,,2026-01-06
2026-01-06,IN,MAT-009,말차파우더,티파우더,L260106-05,28,파우치,22500,630000,14.0,원료창고A,PO-2601-059,,2026-01-06
2026-01-06,IN,MAT-012,포장재,팩앤팩,L260106-06,14250,장,1500,21375000,14250.0,자재창고,PO-2601-074,,2026-01-06
2026-01-06,OUT,MAT-001,카다이프,,,18,팩,60000,1080000,88.4,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-06,OUT,MAT-002,피스타치오페이스트,,,67,통,38000,2546000,66.4,냉장창고,,DUBAI라인 투입,
2026-01-06,OUT,MAT-003,헤이즐넛페이스트,,,44,통,18000,792000,43.6,냉장창고,,ITALY라인 투입,
2026-01-06,OUT,MAT-004,헤이즐넛분태,,,7,봉,15000,105000,6.2,원료창고A,,ITALY라인 투입,
2026-01-06,OUT,MAT-005,마시멜로,,,69,봉,5500,379500,68.1,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-06,OUT,MAT-006,다크초콜릿,,,2,백,55000,110000,3.2,원료창고B,,ITALY라인 투입,
2026-01-06,OUT,MAT-007,화이트초콜릿,,,7,백,60000,420000,15.4,원료창고B,,DUBAI+ITALY라인 투입,
2026-01-06,OUT,MAT-008,코코아파우더,,,3,봉,16000,48000,2.7,원료창고A,,DUBAI라인 투입,
2026-01-06,OUT,MAT-009,말차파우더,,,6,파우치,22500,135000,2.8,원료창고A,,DUBAI라인 투입,
2026-01-06,OUT,MAT-010,무염버터,,,2,박스,85500,171000,15.7,냉장창고,,DUBAI+ITALY라인 투입,
2026-01-06,OUT,MAT-011,탈지분유,,,7,봉,8000,56000,6.2,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-06,OUT,MAT-012,포장재,,,2960,장,1500,4440000,2960.0,자재창고,,전체라인 투입,
2026-01-07,IN,MAT-002,피스타치오페이스트,그린넛코리아,L260107-01,161,통,38000,6118000,161.0,냉장창고,PO-2601-014,,2026-01-07
2026-01-07,IN,MAT-005,마시멜로,한성식품,L260107-02,172,봉,5500,946000,172.0,원료창고A,PO-2601-035,,2026-01-07
2026-01-07,IN,MAT-006,다크초콜릿,카카오트레이드,L260107-03,8,백,55000,440000,20.0,원료창고B,PO-2601-044,,2026-01-07
2026-01-07,IN,MAT-008,코코아파우더,티파우더,L260107-04,13,봉,16000,208000,13.0,원료창고A,PO-2601-054,,2026-01-07
2026-01-07,OUT,MAT-001,카다이프,,,18,팩,60000,1080000,87.1,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-07,OUT,MAT-002,피스타치오페이스트,,,69,통,38000,2622000,68.3,냉장창고,,DUBAI라인 투입,
2026-01-07,OUT,MAT-003,헤이즐넛페이스트,,,46,통,18000,828000,45.2,냉장창고,,ITALY라인 투입,
2026-01-07,OUT,MAT-004,헤이즐넛분태,,,7,봉,15000,105000,6.3,원료창고A,,ITALY라인 투입,
2026-01-07,OUT,MAT-005,마시멜로,,,68,봉,5500,374000,67.1,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-07,OUT,MAT-006,다크초콜릿,,,2,백,55000,110000,3.5,원료창고B,,ITALY라인 투입,
2026-01-07,OUT,MAT-007,화이트초콜릿,,,7,백,60000,420000,15.2,원료창고B,,DUBAI+ITALY라인 투입,
2026-01-07,OUT,MAT-008,코코아파우더,,,3,봉,16000,48000,2.8,원료창고A,,DUBAI라인 투입,
2026-01-07,OUT,MAT-009,말차파우더,,,6,파우치,22500,135000,2.8,원료창고A,,DUBAI라인 투입,
2026-01-07,OUT,MAT-010,무염버터,,,2,박스,85500,171000,15.4,냉장창고,,DUBAI+ITALY라인 투입,
2026-01-07,OUT,MAT-011,탈지분유,,,7,봉,8000,56000,6.2,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-07,OUT,MAT-012,포장재,,,2980,장,1500,4470000,2980.0,자재창고,,전체라인 투입,
2026-01-08,IN,MAT-002,피스타치오페이스트,그린넛코리아,L260108-01,167,통,38000,6346000,167.0,냉장창고,PO-2601-013,납기 2일 지연,2026-01-06
2026-01-08,IN,MAT-004,헤이즐넛분태,유로넛츠,L260108-02,29,봉,15000,435000,29.0,원료창고A,PO-2601-029,,2026-01-08
2026-01-08,IN,MAT-005,마시멜로,한성식품,L260108-03,157,봉,5500,863500,157.0,원료창고A,PO-2601-036,,2026-01-08
2026-01-08,OUT,MAT-001,카다이프,,,19,팩,60000,1140000,90.1,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-08,OUT,MAT-002,피스타치오페이스트,,,66,통,38000,2508000,66.0,냉장창고,,DUBAI라인 투입,
2026-01-08,OUT,MAT-003,헤이즐넛페이스트,,,47,통,18000,846000,46.6,냉장창고,,ITALY라인 투입,
2026-01-08,OUT,MAT-004,헤이즐넛분태,,,7,봉,15000,105000,6.3,원료창고A,,ITALY라인 투입,
2026-01-08,OUT,MAT-005,마시멜로,,,70,봉,5500,385000,69.6,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-08,OUT,MAT-006,다크초콜릿,,,2,백,55000,110000,3.4,원료창고B,,ITALY라인 투입,
2026-01-08,OUT,MAT-007,화이트초콜릿,,,7,백,60000,420000,15.3,원료창고B,,DUBAI+ITALY라인 투입,
2026-01-08,OUT,MAT-008,코코아파우더,,,3,봉,16000,48000,2.8,원료창고A,,DUBAI라인 투입,
2026-01-08,OUT,MAT-009,말차파우더,,,6,파우치,22500,135000,2.8,원료창고A,,DUBAI라인 투입,
2026-01-08,OUT,MAT-010,무염버터,,,2,박스,85500,171000,15.6,냉장창고,,DUBAI+ITALY라인 투입,
2026-01-08,OUT,MAT-011,탈지분유,,,7,봉,8000,56000,6.1,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-08,OUT,MAT-012,포장재,,,2980,장,1500,4470000,2980.0,자재창고,,전체라인 투입,
2026-01-09,IN,MAT-003,헤이즐넛페이스트,유로넛츠,L260109-01,114,통,18000,2052000,114.0,냉장창고,PO-2601-023,,2026-01-09
2026-01-09,IN,MAT-010,무염버터,한성식품,L260109-02,8,박스,85500,684000,72.0,냉장창고,PO-2601-064,,2026-01-09
2026-01-09,IN,MAT-011,탈지분유,한성식품,L260109-03,30,봉,8000,240000,30.0,원료창고A,PO-2601-069,,2026-01-09
2026-01-09,OUT,MAT-001,카다이프,,,18,팩,60000,1080000,89.0,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-09,OUT,MAT-002,피스타치오페이스트,,,69,통,38000,2622000,68.3,냉장창고,,DUBAI라인 투입,
2026-01-09,OUT,MAT-003,헤이즐넛페이스트,,,44,통,18000,792000,43.9,냉장창고,,ITALY라인 투입,
2026-01-09,OUT,MAT-004,헤이즐넛분태,,,7,봉,15000,105000,6.3,원료창고A,,ITALY라인 투입,
2026-01-09,OUT,MAT-005,마시멜로,,,67,봉,5500,368500,66.6,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-09,OUT,MAT-006,다크초콜릿,,,2,백,55000,110000,3.4,원료창고B,,ITALY라인 투입,
2026-01-09,OUT,MAT-007,화이트초콜릿,,,7,백,60000,420000,15.3,원료창고B,,DUBAI+ITALY라인 투입,
2026-01-09,OUT,MAT-008,코코아파우더,,,3,봉,16000,48000,2.8,원료창고A,,DUBAI라인 투입,
2026-01-09,OUT,MAT-009,말차파우더,,,6,파우치,22500,135000,2.8,원료창고A,,DUBAI라인 투입,
2026-01-09,OUT,MAT-010,무염버터,,,2,박스,85500,171000,15.4,냉장창고,,DUBAI+ITALY라인 투입,
2026-01-09,OUT,MAT-011,탈지분유,,,7,봉,8000,56000,6.4,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-09,OUT,MAT-012,포장재,,,2960,장,1500,4440000,2960.0,자재창고,,전체라인 투입,
2026-01-10,OUT,MAT-001,카다이프,,,18,팩,60000,1080000,87.8,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-10,OUT,MAT-002,피스타치오페이스트,,,66,통,38000,2508000,65.9,냉장창고,,DUBAI라인 투입,
2026-01-10,OUT,MAT-003,헤이즐넛페이스트,,,44,통,18000,792000,43.5,냉장창고,,ITALY라인 투입,
2026-01-10,OUT,MAT-004,헤이즐넛분태,,,7,봉,15000,105000,6.1,원료창고A,,ITALY라인 투입,
2026-01-10,OUT,MAT-005,마시멜로,,,67,봉,5500,368500,67.0,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-10,OUT,MAT-006,다크초콜릿,,,2,백,55000,110000,3.3,원료창고B,,ITALY라인 투입,
2026-01-10,OUT,MAT-007,화이트초콜릿,,,7,백,60000,420000,15.5,원료창고B,,DUBAI+ITALY라인 투입,
2026-01-10,OUT,MAT-008,코코아파우더,,,3,봉,16000,48000,2.8,원료창고A,,DUBAI라인 투입,
2026-01-10,OUT,MAT-009,말차파우더,,,6,파우치,22500,135000,2.8,원료창고A,,DUBAI라인 투입,
2026-01-10,OUT,MAT-010,무염버터,,,2,박스,85500,171000,15.7,냉장창고,,DUBAI+ITALY라인 투입,
2026-01-10,OUT,MAT-011,탈지분유,,,7,봉,8000,56000,6.2,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-10,OUT,MAT-012,포장재,,,2960,장,1500,4440000,2960.0,자재창고,,전체라인 투입,
2026-01-13,IN,MAT-006,다크초콜릿,카카오트레이드,L260113-01,7,백,55000,385000,17.5,원료창고B,PO-2601-045,,2026-01-13
2026-01-13,IN,MAT-010,무염버터,한성식품,L260113-02,9,박스,85500,769500,81.0,냉장창고,PO-2601-065,,2026-01-13
2026-01-13,IN,MAT-011,탈지분유,한성식품,L260113-03,30,봉,8000,240000,30.0,원료창고A,PO-2601-070,,2026-01-13
2026-01-13,OUT,MAT-001,카다이프,,,18,팩,60000,1080000,86.8,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-13,OUT,MAT-002,피스타치오페이스트,,,67,통,38000,2546000,66.8,냉장창고,,DUBAI라인 투입,
2026-01-13,OUT,MAT-003,헤이즐넛페이스트,,,46,통,18000,828000,45.1,냉장창고,,ITALY라인 투입,
2026-01-13,OUT,MAT-004,헤이즐넛분태,,,7,봉,15000,105000,6.3,원료창고A,,ITALY라인 투입,
2026-01-13,OUT,MAT-005,마시멜로,,,69,봉,5500,379500,68.5,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-13,OUT,MAT-006,다크초콜릿,,,2,백,55000,110000,3.4,원료창고B,,ITALY라인 투입,
2026-01-13,OUT,MAT-007,화이트초콜릿,,,7,백,60000,420000,15.1,원료창고B,,DUBAI+ITALY라인 투입,
2026-01-13,OUT,MAT-008,코코아파우더,,,3,봉,16000,48000,2.9,원료창고A,,DUBAI라인 투입,
2026-01-13,OUT,MAT-009,말차파우더,,,6,파우치,22500,135000,2.7,원료창고A,,DUBAI라인 투입,
2026-01-13,OUT,MAT-010,무염버터,,,2,박스,85500,171000,15.4,냉장창고,,DUBAI+ITALY라인 투입,
2026-01-13,OUT,MAT-011,탈지분유,,,7,봉,8000,56000,6.2,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-13,OUT,MAT-012,포장재,,,2940,장,1500,4410000,2940.0,자재창고,,전체라인 투입,
2026-01-14,IN,MAT-002,피스타치오페이스트,그린넛코리아,L260114-01,171,통,38000,6498000,171.0,냉장창고,PO-2601-015,,2026-01-14
2026-01-14,IN,MAT-004,헤이즐넛분태,유로넛츠,L260114-02,35,봉,15000,525000,35.0,원료창고A,PO-2601-030,,2026-01-14
2026-01-14,IN,MAT-005,마시멜로,한성식품,L260114-03,180,봉,5500,990000,180.0,원료창고A,PO-2601-037,,2026-01-14
2026-01-14,IN,MAT-008,코코아파우더,티파우더,L260114-04,13,봉,16000,208000,13.0,원료창고A,PO-2601-055,,2026-01-14
2026-01-14,OUT,MAT-001,카다이프,,,18,팩,60000,1080000,89.5,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-14,OUT,MAT-002,피스타치오페이스트,,,71,통,38000,2698000,70.8,냉장창고,,DUBAI라인 투입,
2026-01-14,OUT,MAT-003,헤이즐넛페이스트,,,45,통,18000,810000,44.8,냉장창고,,ITALY라인 투입,
2026-01-14,OUT,MAT-004,헤이즐넛분태,,,7,봉,15000,105000,6.1,원료창고A,,ITALY라인 투입,
2026-01-14,OUT,MAT-005,마시멜로,,,68,봉,5500,374000,68.0,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-14,OUT,MAT-006,다크초콜릿,,,2,백,55000,110000,3.4,원료창고B,,ITALY라인 투입,
2026-01-14,OUT,MAT-007,화이트초콜릿,,,7,백,60000,420000,15.2,원료창고B,,DUBAI+ITALY라인 투입,
2026-01-14,OUT,MAT-008,코코아파우더,,,3,봉,16000,48000,2.9,원료창고A,,DUBAI라인 투입,
2026-01-14,OUT,MAT-009,말차파우더,,,6,파우치,22500,135000,2.9,원료창고A,,DUBAI라인 투입,
2026-01-14,OUT,MAT-010,무염버터,,,2,박스,85500,171000,16.0,냉장창고,,DUBAI+ITALY라인 투입,
2026-01-14,OUT,MAT-011,탈지분유,,,7,봉,8000,56000,6.5,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-14,OUT,MAT-012,포장재,,,3020,장,1500,4530000,3020.0,자재창고,,전체라인 투입,
2026-01-15,IN,MAT-001,카다이프,중동식품,L260115-01,42,팩,60000,2520000,210.0,원료창고A,PO-2601-005,,2026-01-15
2026-01-15,IN,MAT-012,포장재,팩앤팩,L260115-02,15000,장,1500,22500000,15000.0,자재창고,PO-2601-075,,2026-01-15
2026-01-15,OUT,MAT-001,카다이프,,,17,팩,60000,1020000,83.2,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-15,OUT,MAT-002,피스타치오페이스트,,,67,통,38000,2546000,66.1,냉장창고,,DUBAI라인 투입,
2026-01-15,OUT,MAT-003,헤이즐넛페이스트,,,44,통,18000,792000,43.5,냉장창고,,ITALY라인 투입,
2026-01-15,OUT,MAT-004,헤이즐넛분태,,,7,봉,15000,105000,6.1,원료창고A,,ITALY라인 투입,
2026-01-15,OUT,MAT-005,마시멜로,,,69,봉,5500,379500,68.8,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-15,OUT,MAT-006,다크초콜릿,,,2,백,55000,110000,3.3,원료창고B,,ITALY라인 투입,
2026-01-15,OUT,MAT-007,화이트초콜릿,,,6,백,60000,360000,14.6,원료창고B,,DUBAI+ITALY라인 투입,
2026-01-15,OUT,MAT-008,코코아파우더,,,3,봉,16000,48000,2.8,원료창고A,,DUBAI라인 투입,
2026-01-15,OUT,MAT-009,말차파우더,,,6,파우치,22500,135000,2.7,원료창고A,,DUBAI라인 투입,
2026-01-15,OUT,MAT-010,무염버터,,,2,박스,85500,171000,14.9,냉장창고,,DUBAI+ITALY라인 투입,
2026-01-15,OUT,MAT-011,탈지분유,,,7,봉,8000,56000,6.1,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-15,OUT,MAT-012,포장재,,,2900,장,1500,4350000,2900.0,자재창고,,전체라인 투입,
2026-01-16,IN,MAT-001,카다이프,중동식품,L260116-01,49,팩,60000,2940000,245.0,원료창고A,PO-2601-006,,2026-01-16
2026-01-16,IN,MAT-002,피스타치오페이스트,그린넛코리아,L260116-02,182,통,38000,6916000,182.0,냉장창고,PO-2601-016,,2026-01-16
2026-01-16,IN,MAT-003,헤이즐넛페이스트,유로넛츠,L260116-03,237,통,18000,4266000,237.0,냉장창고,PO-2601-024,,2026-01-16
2026-01-16,IN,MAT-005,마시멜로,한성식품,L260116-04,177,봉,5500,973500,177.0,원료창고A,PO-2601-038,,2026-01-16
2026-01-16,IN,MAT-007,화이트초콜릿,카카오트레이드,L260116-05,30,백,60000,1800000,75.0,원료창고B,PO-2601-050,,2026-01-16
2026-01-16,IN,MAT-009,말차파우더,티파우더,L260116-06,28,파우치,22500,630000,14.0,원료창고A,PO-2601-060,,2026-01-16
2026-01-16,OUT,MAT-001,카다이프,,,18,팩,60000,1080000,86.4,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-16,OUT,MAT-002,피스타치오페이스트,,,69,통,38000,2622000,68.4,냉장창고,,DUBAI라인 투입,
2026-01-16,OUT,MAT-003,헤이즐넛페이스트,,,45,통,18000,810000,44.5,냉장창고,,ITALY라인 투입,
2026-01-16,OUT,MAT-004,헤이즐넛분태,,,7,봉,15000,105000,6.3,원료창고A,,ITALY라인 투입,
2026-01-16,OUT,MAT-005,마시멜로,,,70,봉,5500,385000,69.3,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-16,OUT,MAT-006,다크초콜릿,,,2,백,55000,110000,3.5,원료창고B,,ITALY라인 투입,
2026-01-16,OUT,MAT-007,화이트초콜릿,,,6,백,60000,360000,14.7,원료창고B,,DUBAI+ITALY라인 투입,
2026-01-16,OUT,MAT-008,코코아파우더,,,3,봉,16000,48000,2.7,원료창고A,,DUBAI라인 투입,
2026-01-16,OUT,MAT-009,말차파우더,,,6,파우치,22500,135000,2.8,원료창고A,,DUBAI라인 투입,
2026-01-16,OUT,MAT-010,무염버터,,,2,박스,85500,171000,15.6,냉장창고,,DUBAI+ITALY라인 투입,
2026-01-16,OUT,MAT-011,탈지분유,,,7,봉,8000,56000,6.4,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-16,OUT,MAT-012,포장재,,,2940,장,1500,4410000,2940.0,자재창고,,전체라인 투입,
2026-01-17,OUT,MAT-001,카다이프,,,18,팩,60000,1080000,86.0,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-17,OUT,MAT-002,피스타치오페이스트,,,67,통,38000,2546000,67.0,냉장창고,,DUBAI라인 투입,
2026-01-17,OUT,MAT-003,헤이즐넛페이스트,,,44,통,18000,792000,43.5,냉장창고,,ITALY라인 투입,
2026-01-17,OUT,MAT-004,헤이즐넛분태,,,7,봉,15000,105000,6.2,원료창고A,,ITALY라인 투입,
2026-01-17,OUT,MAT-005,마시멜로,,,67,봉,5500,368500,67.0,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-17,OUT,MAT-006,다크초콜릿,,,2,백,55000,110000,3.3,원료창고B,,ITALY라인 투입,
2026-01-17,OUT,MAT-007,화이트초콜릿,,,7,백,60000,420000,15.3,원료창고B,,DUBAI+ITALY라인 투입,
2026-01-17,OUT,MAT-008,코코아파우더,,,3,봉,16000,48000,2.6,원료창고A,,DUBAI라인 투입,
2026-01-17,OUT,MAT-009,말차파우더,,,6,파우치,22500,135000,2.9,원료창고A,,DUBAI라인 투입,
2026-01-17,OUT,MAT-010,무염버터,,,2,박스,85500,171000,15.2,냉장창고,,DUBAI+ITALY라인 투입,
2026-01-17,OUT,MAT-011,탈지분유,,,7,봉,8000,56000,6.1,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-17,OUT,MAT-012,포장재,,,2920,장,1500,4380000,2920.0,자재창고,,전체라인 투입,
2026-01-20,IN,MAT-003,헤이즐넛페이스트,유로넛츠,L260120-01,113,통,18000,2034000,113.0,냉장창고,PO-2601-025,,2026-01-20
2026-01-20,IN,MAT-003,헤이즐넛페이스트,유로넛츠,L260120-02,123,통,18000,2214000,123.0,냉장창고,PO-2601-026,,2026-01-20
2026-01-20,IN,MAT-004,헤이즐넛분태,유로넛츠,L260120-03,29,봉,15000,435000,29.0,원료창고A,PO-2601-031,,2026-01-20
2026-01-20,IN,MAT-005,마시멜로,한성식품,L260120-04,195,봉,5500,1072500,195.0,원료창고A,PO-2601-039,,2026-01-20
2026-01-20,OUT,MAT-001,카다이프,,,18,팩,60000,1080000,87.9,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-20,OUT,MAT-002,피스타치오페이스트,,,67,통,38000,2546000,66.1,냉장창고,,DUBAI라인 투입,
2026-01-20,OUT,MAT-003,헤이즐넛페이스트,,,46,통,18000,828000,45.4,냉장창고,,ITALY라인 투입,
2026-01-20,OUT,MAT-004,헤이즐넛분태,,,7,봉,15000,105000,6.5,원료창고A,,ITALY라인 투입,
2026-01-20,OUT,MAT-005,마시멜로,,,71,봉,5500,390500,70.8,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-20,OUT,MAT-006,다크초콜릿,,,2,백,55000,110000,3.4,원료창고B,,ITALY라인 투입,
2026-01-20,OUT,MAT-007,화이트초콜릿,,,6,백,60000,360000,15.0,원료창고B,,DUBAI+ITALY라인 투입,
2026-01-20,OUT,MAT-008,코코아파우더,,,3,봉,16000,48000,2.7,원료창고A,,DUBAI라인 투입,
2026-01-20,OUT,MAT-009,말차파우더,,,6,파우치,22500,135000,2.8,원료창고A,,DUBAI라인 투입,
2026-01-20,OUT,MAT-010,무염버터,,,2,박스,85500,171000,16.0,냉장창고,,DUBAI+ITALY라인 투입,
2026-01-20,OUT,MAT-011,탈지분유,,,7,봉,8000,56000,6.2,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-20,OUT,MAT-012,포장재,,,2980,장,1500,4470000,2980.0,자재창고,,전체라인 투입,
2026-01-21,IN,MAT-001,카다이프,중동식품,L260121-01,48,팩,60000,2880000,240.0,원료창고A,PO-2601-007,,2026-01-21
2026-01-21,IN,MAT-007,화이트초콜릿,카카오트레이드,L260121-02,30,백,60000,1800000,75.0,원료창고B,PO-2601-051,,2026-01-21
2026-01-21,IN,MAT-009,말차파우더,티파우더,L260121-03,32,파우치,22500,720000,16.0,원료창고A,PO-2601-061,,2026-01-21
2026-01-21,OUT,MAT-001,카다이프,,,18,팩,60000,1080000,87.8,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-21,OUT,MAT-002,피스타치오페이스트,,,68,통,38000,2584000,67.2,냉장창고,,DUBAI라인 투입,
2026-01-21,OUT,MAT-003,헤이즐넛페이스트,,,45,통,18000,810000,44.4,냉장창고,,ITALY라인 투입,
2026-01-21,OUT,MAT-004,헤이즐넛분태,,,7,봉,15000,105000,6.4,원료창고A,,ITALY라인 투입,
2026-01-21,OUT,MAT-005,마시멜로,,,67,봉,5500,368500,66.7,원료창고A,,DUBAI+ITALY라인 투입,
