생산일자,라인,제품코드,제품명,계획수량,생산수량,양품수량,불량수량,달성률,원재료투입량_kg,작업시간,근무조,비고
2026-02-17,DUBAI,DCK-C,두바이코코아,800,722,685,37,90.2,80.8,9.8,A조,라인재가동-품질불안정
2026-02-17,DUBAI,DCK-M,두바이말차,520,472,443,29,90.8,53.3,9.6,B조,라인재가동-품질불안정
2026-02-17,ITALY,ICK-O,이태리오리지널,760,663,651,12,87.2,74.0,7.7,A조,
2026-02-17,ITALY,ICK-D,이태리다크,640,573,566,7,89.5,65.6,7.9,B조,
2026-02-18,DUBAI,DCK-C,두바이코코아,800,714,676,38,89.2,77.0,9.4,A조,라인재가동-품질불안정
2026-02-18,DUBAI,DCK-M,두바이말차,520,475,456,19,91.3,53.5,9.3,B조,라인재가동-품질불안정
2026-02-18,ITALY,ICK-O,이태리오리지널,760,715,703,12,94.1,80.9,7.3,A조,
2026-02-18,ITALY,ICK-D,이태리다크,640,583,573,10,91.1,66.2,7.6,B조,
2026-02-19,DUBAI,DCK-C,두바이코코아,760,689,647,42,90.7,77.4,8.9,A조,라인재가동-품질불안정
2026-02-19,DUBAI,DCK-M,두바이말차,520,458,440,18,88.1,50.5,9.3,B조,라인재가동-품질불안정
2026-02-19,ITALY,ICK-O,이태리오리지널,760,705,688,17,92.8,81.2,7.9,A조,
2026-02-19,ITALY,ICK-D,이태리다크,640,579,567,12,90.5,68.6,7.5,B조,
2026-02-20,DUBAI,DCK-C,두바이코코아,800,735,702,33,91.9,81.8,9.3,A조,라인재가동-품질불안정
2026-02-20,DUBAI,DCK-M,두바이말차,500,453,433,20,90.6,52.0,9.7,B조,라인재가동-품질불안정
2026-02-20,ITALY,ICK-O,이태리오리지널,760,701,683,18,92.2,77.7,8.0,A조,
2026-02-20,ITALY,ICK-D,이태리다크,640,598,584,14,93.4,67.5,7.3,B조,
2026-02-21,DUBAI,DCK-C,두바이코코아,800,713,666,47,89.1,78.1,9.6,A조,라인재가동-품질불안정
2026-02-21,DUBAI,DCK-M,두바이말차,520,489,469,20,94.0,56.1,9.4,B조,라인재가동-품질불안정
2026-02-21,ITALY,ICK-O,이태리오리지널,760,714,695,19,93.9,81.4,7.4,A조,
2026-02-21,ITALY,ICK-D,이태리다크,640,596,582,14,93.1,69.9,7.6,B조,
2026-02-24,DUBAI,DCK-C,두바이코코아,780,733,714,19,94.0,80.1,9.8,A조,
2026-02-24,DUBAI,DCK-M,두바이말차,520,501,487,14,96.3,55.5,9.9,B조,
2026-02-24,ITALY,ICK-O,이태리오리지널,760,709,694,15,93.3,80.1,8.0,A조,
2026-02-24,ITALY,ICK-D,이태리다크,640,595,583,12,93.0,67.8,8.0,B조,
2026-02-25,DUBAI,DCK-C,두바이코코아,760,711,693,18,93.6,79.4,8.9,A조,
2026-02-25,DUBAI,DCK-M,두바이말차,540,513,499,14,95.0,59.3,8.6,B조,
2026-02-25,ITALY,ICK-O,이태리오리지널,760,733,719,14,96.4,83.6,7.6,A조,
2026-02-25,ITALY,ICK-D,이태리다크,640,605,598,7,94.5,71.3,7.5,B조,
2026-02-26,DUBAI,DCK-C,두바이코코아,780,751,733,18,96.3,84.6,9.6,A조,
2026-02-26,DUBAI,DCK-M,두바이말차,520,513,503,10,98.7,56.5,9.9,B조,
2026-02-26,ITALY,ICK-O,이태리오리지널,760,745,731,14,98.0,85.7,7.9,A조,
2026-02-26,ITALY,ICK-D,이태리다크,640,621,610,11,97.0,71.7,8.0,B조,
2026-02-27,DUBAI,DCK-C,두바이코코아,780,753,731,22,96.5,82.1,9.4,A조,
2026-02-27,DUBAI,DCK-M,두바이말차,520,500,489,11,96.2,56.8,9.1,B조,
2026-02-27,ITALY,ICK-O,이태리오리지널,760,725,710,15,95.4,81.1,7.5,A조,
2026-02-27,ITALY,ICK-D,이태리다크,640,601,594,7,93.9,68.2,7.4,B조,
2026-02-28,DUBAI,DCK-C,두바이코코아,780,722,707,15,92.6,78.3,9.2,A조,
2026-02-28,DUBAI,DCK-M,두바이말차,520,493,480,13,94.8,57.4,9.3,B조,
2026-02-28,ITALY,ICK-O,이태리오리지널,760,725,714,11,95.4,80.9,7.5,A조,
2026-02-28,ITALY,ICK-D,이태리다크,640,616,609,7,96.2,71.3,7.5,B조,
2026-03-03,DUBAI,DCK-C,두바이코코아,900,890,868,22,98.9,96.0,9.8,A조,
2026-03-03,DUBAI,DCK-M,두바이말차,600,580,568,12,96.7,67.2,9.4,B조,
2026-03-03,ITALY,ICK-O,이태리오리지널,720,687,677,10,95.4,75.9,8.1,A조,
2026-03-03,ITALY,ICK-D,이태리다크,580,564,556,8,97.2,66.3,7.7,B조,
2026-03-04,DUBAI,DCK-C,두바이코코아,920,910,895,15,98.9,98.3,9.3,A조,
2026-03-04,DUBAI,DCK-M,두바이말차,580,568,558,10,97.9,66.2,8.7,B조,
2026-03-04,ITALY,ICK-O,이태리오리지널,720,700,685,15,97.2,78.1,7.8,A조,
2026-03-04,ITALY,ICK-D,이태리다크,580,551,543,8,95.0,63.4,8.1,B조,
2026-03-05,DUBAI,DCK-C,두바이코코아,900,885,864,21,98.3,98.2,9.6,A조,
2026-03-05,DUBAI,DCK-M,두바이말차,600,582,567,15,97.0,64.9,8.8,B조,
2026-03-05,ITALY,ICK-O,이태리오리지널,720,695,685,10,96.5,76.9,7.3,A조,
2026-03-05,ITALY,ICK-D,이태리다크,580,558,550,8,96.2,64.8,7.6,B조,
2026-03-06,DUBAI,DCK-C,두바이코코아,900,875,853,22,97.2,96.2,9.5,A조,
2026-03-06,DUBAI,DCK-M,두바이말차,600,596,581,15,99.3,68.7,9.4,B조,
2026-03-06,ITALY,ICK-O,이태리오리지널,720,685,673,12,95.1,77.9,7.9,A조,
2026-03-06,ITALY,ICK-D,이태리다크,580,545,535,10,94.0,64.1,7.4,B조,
2026-03-07,DUBAI,DCK-C,두바이코코아,900,879,857,22,97.7,97.3,8.9,A조,
2026-03-07,DUBAI,DCK-M,두바이말차,600,589,580,9,98.2,67.5,9.5,B조,
2026-03-07,ITALY,ICK-O,이태리오리지널,720,710,697,13,98.6,78.6,7.3,A조,
2026-03-07,ITALY,ICK-D,이태리다크,580,559,551,8,96.4,63.9,7.5,B조,
2026-03-10,DUBAI,DCK-C,두바이코코아,920,922,898,24,100.2,102.1,9.9,A조,
2026-03-10,DUBAI,DCK-M,두바이말차,580,575,560,15,99.1,65.8,8.9,B조,
2026-03-10,ITALY,ICK-O,이태리오리지널,720,716,703,13,99.4,81.9,8.1,A조,
2026-03-10,ITALY,ICK-D,이태리다크,580,566,559,7,97.6,65.7,7.9,B조,
2026-03-11,DUBAI,DCK-C,두바이코코아,900,867,850,17,96.3,94.7,9.5,A조,
2026-03-11,DUBAI,DCK-M,두바이말차,600,582,568,14,97.0,65.4,9.5,B조,
2026-03-11,ITALY,ICK-O,이태리오리지널,720,692,677,15,96.1,78.7,7.7,A조,
2026-03-11,ITALY,ICK-D,이태리다크,580,583,575,8,100.5,66.7,8.2,B조,
2026-03-12,DUBAI,DCK-C,두바이코코아,900,860,836,24,95.6,95.7,9.3,A조,
2026-03-12,DUBAI,DCK-M,두바이말차,600,588,577,11,98.0,65.5,9.0,B조,
2026-03-12,ITALY,ICK-O,이태리오리지널,720,699,684,15,97.1,77.9,7.8,A조,
2026-03-12,ITALY,ICK-D,이태리다크,580,550,540,10,94.8,63.3,7.9,B조,
2026-03-13,DUBAI,DCK-C,두바이코코아,900,899,878,21,99.9,97.6,8.7,A조,
2026-03-13,DUBAI,DCK-M,두바이말차,600,599,587,12,99.8,68.1,8.6,B조,
2026-03-13,ITALY,ICK-O,이태리오리지널,720,722,709,13,100.3,80.1,8.0,A조,
2026-03-13,ITALY,ICK-D,이태리다크,580,562,554,8,96.9,65.7,7.8,B조,
2026-03-14,DUBAI,DCK-C,두바이코코아,900,869,844,25,96.6,94.4,9.3,A조,
2026-03-14,DUBAI,DCK-M,두바이말차,600,599,588,11,99.8,69.6,9.3,B조,
2026-03-14,ITALY,ICK-O,이태리오리지널,720,714,703,11,99.2,82.3,7.7,A조,
2026-03-14,ITALY,ICK-D,이태리다크,580,551,541,10,95.0,63.7,8.0,B조,
2026-03-17,DUBAI,DCK-C,두바이코코아,900,869,846,23,96.6,98.5,9.2,A조,
2026-03-17,DUBAI,DCK-M,두바이말차,600,589,578,11,98.2,66.9,9.0,B조,
2026-03-17,ITALY,ICK-O,이태리오리지널,720,683,668,15,94.9,76.7,7.5,A조,
2026-03-17,ITALY,ICK-D,이태리다크,580,558,547,11,96.2,64.7,7.5,B조,
2026-03-18,DUBAI,DCK-C,두바이코코아,900,872,847,25,96.9,97.3,9.7,A조,
2026-03-18,DUBAI,DCK-M,두바이말차,600,578,566,12,96.3,66.2,9.7,B조,
2026-03-18,ITALY,ICK-O,이태리오리지널,720,710,699,11,98.6,80.5,7.8,A조,
2026-03-18,ITALY,ICK-D,이태리다크,580,560,548,12,96.6,66.1,7.7,B조,
2026-03-19,DUBAI,DCK-C,두바이코코아,900,855,831,24,95.0,93.8,9.5,A조,
2026-03-19,DUBAI,DCK-M,두바이말차,600,579,568,11,96.5,65.5,10.0,B조,
2026-03-19,ITALY,ICK-O,이태리오리지널,720,688,672,16,95.6,79.6,8.1,A조,
2026-03-19,ITALY,ICK-D,이태리다크,580,574,561,13,99.0,65.8,7.6,B조,
2026-03-20,DUBAI,DCK-C,두바이코코아,880,847,821,26,96.2,90.9,8.6,A조,
2026-03-20,DUBAI,DCK-M,두바이말차,620,584,570,14,94.2,67.8,10.0,B조,
2026-03-20,ITALY,ICK-O,이태리오리지널,720,697,685,12,96.8,79.6,8.1,A조,
2026-03-20,ITALY,ICK-D,이태리다크,580,552,542,10,95.2,64.5,8.1,B조,
2026-03-21,DUBAI,DCK-C,두바이코코아,900,896,876,20,99.6,98.1,8.7,A조,
2026-03-21,DUBAI,DCK-M,두바이말차,600,586,572,14,97.7,66.7,9.7,B조,
2026-03-21,ITALY,ICK-O,이태리오리지널,720,699,680,19,97.1,79.8,7.5,A조,
2026-03-21,ITALY,ICK-D,이태리다크,580,565,552,13,97.4,63.9,7.7,B조,
2026-03-24,DUBAI,DCK-C,두바이코코아,900,871,856,15,96.8,97.7,9.9,A조,
2026-03-24,DUBAI,DCK-M,두바이말차,600,588,573,15,98.0,65.4,9.2,B조,
2026-03-24,ITALY,ICK-O,이태리오리지널,720,688,672,16,95.6,77.7,7.5,A조,
2026-03-24,ITALY,ICK-D,이태리다크,580,572,560,12,98.6,64.9,7.6,B조,
2026-03-25,DUBAI,DCK-C,두바이코코아,920,880,857,23,95.7,97.4,10.0,A조,
2026-03-25,DUBAI,DCK-M,두바이말차,580,562,551,11,96.9,65.5,9.5,B조,
2026-03-25,ITALY,ICK-O,이태리오리지널,720,695,678,17,96.5,79.9,7.3,A조,
2026-03-25,ITALY,ICK-D,이태리다크,580,573,562,11,98.8,66.2,8.1,B조,
2026-03-26,DUBAI,DCK-C,두바이코코아,900,865,842,23,96.1,94.6,9.5,A조,
2026-03-26,DUBAI,DCK-M,두바이말차,600,598,583,15,99.7,68.5,9.6,B조,
2026-03-26,ITALY,ICK-O,이태리오리지널,720,685,669,16,95.1,79.5,7.9,A조,
2026-03-26,ITALY,ICK-D,이태리다크,580,547,538,9,94.3,63.0,7.8,B조,
2026-03-27,DUBAI,DCK-C,두바이코코아,880,851,832,19,96.7,95.1,8.8,A조,
2026-03-27,DUBAI,DCK-M,두바이말차,620,596,585,11,96.1,67.7,10.0,B조,
2026-03-27,ITALY,ICK-O,이태리오리지널,720,672,654,18,93.3,75.1,8.0,A조,
2026-03-27,ITALY,ICK-D,이태리다크,580,557,547,10,96.0,65.5,8.0,B조,
2026-03-28,DUBAI,DCK-C,두바이코코아,920,887,859,28,96.4,95.8,9.9,A조,
2026-03-28,DUBAI,DCK-M,두바이말차,580,565,549,16,97.4,64.9,10.0,B조,
2026-03-28,ITALY,ICK-O,이태리오리지널,720,717,702,15,99.6,82.7,7.3,A조,
2026-03-28,ITALY,ICK-D,이태리다크,580,558,548,10,96.2,64.3,7.9,B조,
2026-03-31,DUBAI,DCK-C,두바이코코아,880,843,818,25,95.8,95.3,8.7,A조,
2026-03-31,DUBAI,DCK-M,두바이말차,620,589,578,11,95.0,65.0,9.8,B조,
2026-03-31,ITALY,ICK-O,이태리오리지널,720,673,661,12,93.5,74.4,8.0,A조,
2026-03-31,ITALY,ICK-D,이태리다크,580,554,542,12,95.5,63.3,7.7,B조,
